step,train/loss,train/grad_norm,train/learning_rate,train/num_tokens,train/completions/mean_length,train/completions/min_length,train/completions/max_length,train/completions/clipped_ratio,train/completions/mean_terminated_length,train/completions/min_terminated_length,train/completions/max_terminated_length,train/rewards/reward_fn/mean,train/rewards/reward_fn/std,train/reward,train/reward_std,train/frac_reward_zero_std,train/entropy,train/clip_ratio/low_mean,train/clip_ratio/low_min,train/clip_ratio/high_mean,train/clip_ratio/high_max,train/clip_ratio/region_mean,train/epoch
430,0.031099999323487282,0.0,4.993987658963306e-06,373881.0,34.5,1.0,127.19999694824219,0.07500000298023224,17.739286422729492,1.0,94.80000305175781,3.867159366607666,0.5171343684196472,3.867159366607666,0.117379330098629,0.75,0.5369287133216858,0.0,0.0,0.0,0.0,0.0,0.0860000029206276
440,0.26019999384880066,0.1547730267047882,4.9936165851249825e-06,380707.0,36.650001525878906,1.0,189.60000610351562,0.07500000298023224,19.114286422729492,1.0,81.19999694824219,3.8219878673553467,0.5634099841117859,3.8219878673553467,0.22723980247974396,0.550000011920929,0.659110426902771,0.0,0.0,0.0,0.0,0.0,0.08799999952316284
450,0.32350000739097595,0.12269917875528336,4.993234597350238e-06,386844.0,46.625,1.0,233.60000610351562,0.125,16.509525299072266,1.0,83.4000015258789,3.7540924549102783,0.6193742752075195,3.7540924549102783,0.28431686758995056,0.5,0.7353551983833313,0.0,0.0,0.0,0.0,0.0,0.09000000357627869
460,0.07270000129938126,0.033935416489839554,4.992841695639072e-06,396001.0,41.025001525878906,1.0,217.0,0.125,10.19523811340332,1.0,52.400001525878906,3.9145798683166504,0.7425564527511597,3.9145798683166504,0.2552429139614105,0.5,0.5710243582725525,0.0,0.0,0.0,0.0,0.0,0.09200000017881393
470,0.19050000607967377,0.15173447132110596,4.992437425244134e-06,403740.0,46.775001525878906,1.0,177.8000030517578,0.125,16.84404754638672,1.0,68.0,3.8102588653564453,0.5623869299888611,3.8102588653564453,0.21616333723068237,0.550000011920929,0.5750822424888611,0.0,0.0,0.0,0.0,0.0,0.09399999678134918
480,0.16660000383853912,0.18170194327831268,4.992022240912775e-06,413867.0,73.4749984741211,1.0,254.8000030517578,0.22499999403953552,17.88166618347168,1.0,76.4000015258789,3.186107635498047,1.4038715362548828,3.186107635498047,0.5842211842536926,0.44999998807907104,0.8988776206970215,0.0,0.0,0.0,0.0,0.0,0.09600000083446503
490,-0.011300000362098217,0.07725857198238373,4.991595687897643e-06,425441.0,104.69999694824219,1.0,256.0,0.375,13.93857192993164,1.0,55.20000076293945,3.525358200073242,0.6549335718154907,3.525358200073242,0.28534823656082153,0.30000001192092896,0.49670305848121643,0.0,0.0,0.0,0.0,0.0,0.09799999743700027
500,0.1931000053882599,0.13803961873054504,4.991158675693441e-06,436122.0,81.0250015258789,1.0,216.0,0.25,21.21023941040039,1.0,85.0,3.3708736896514893,0.9380900263786316,3.3708736896514893,0.3689197897911072,0.6000000238418579,0.8478989601135254,0.0,0.0,0.0,0.0,0.0,0.10000000149011612
510,0.07639999687671661,0.3133474886417389,4.990709840058116e-06,444059.0,58.775001525878906,1.0,180.60000610351562,0.15000000596046448,22.608333587646484,1.0,117.80000305175781,3.6740174293518066,0.6333637833595276,3.6740174293518066,0.21595938503742218,0.550000011920929,0.771480143070221,0.0,0.0,0.0,0.0,0.0,0.10199999809265137
520,0.09610000252723694,0.0807386264204979,4.990250545233721e-06,453157.0,44.20000076293945,1.0,150.1999969482422,0.10000000149011612,21.9757137298584,1.0,94.80000305175781,3.7722692489624023,0.7528309226036072,3.7722692489624023,0.20266644656658173,0.6000000238418579,0.7414740324020386,0.0,0.0,0.0,0.0,0.0,0.10400000214576721
530,0.2281000018119812,0.14100520312786102,4.989779881725553e-06,461404.0,42.224998474121094,1.0,169.1999969482422,0.125,12.547619819641113,1.0,58.0,3.7015039920806885,0.9759621620178223,3.7015039920806885,0.33064165711402893,0.699999988079071,0.7114012837409973,0.0,0.0,0.0,0.0,0.0,0.10599999874830246
540,0.1598999947309494,0.12354084104299545,4.989298304280965e-06,467833.0,48.17499923706055,1.0,178.60000610351562,0.125,16.674999237060547,1.0,80.0,3.830167293548584,0.5075831413269043,3.830167293548584,0.21752263605594635,0.550000011920929,0.8105400800704956,0.0,0.0,0.0,0.0,0.0,0.1080000028014183
550,-0.05640000104904175,0.0,4.988805358152604e-06,475127.0,48.900001525878906,1.0,124.19999694824219,0.17499999701976776,4.275000095367432,1.0,22.200000762939453,3.91892671585083,0.6286820769309998,3.91892671585083,0.26195576786994934,0.699999988079071,0.3825995624065399,0.0,0.0,0.0,0.0,0.0,0.10999999940395355
560,0.010900000110268593,0.0,4.9883014980878215e-06,482386.0,30.075000762939453,1.0,103.0,0.10000000149011612,5.766666889190674,1.0,20.399999618530273,4.019108772277832,0.36432936787605286,4.019108772277832,0.09518378973007202,0.800000011920929,0.4743795692920685,0.0,0.0,0.0,0.0,0.0,0.1120000034570694
570,0.1136000007390976,0.15149937570095062,4.987786724086618e-06,495807.0,66.7750015258789,1.0,256.0,0.22499999403953552,11.057143211364746,1.0,50.79999923706055,3.8209660053253174,0.6746343374252319,3.8209660053253174,0.17460466921329498,0.550000011920929,0.9380857348442078,0.0,0.0,0.0,0.0,0.0,0.11400000005960464
580,0.2442999929189682,0.18767869472503662,4.987261036148993e-06,505256.0,72.5250015258789,1.0,199.8000030517578,0.22499999403953552,19.72333335876465,1.0,94.0,3.5750365257263184,1.3397270441055298,3.5750365257263184,0.3663769066333771,0.44999998807907104,1.1795185804367065,0.0,0.0,0.0,0.0,0.0,0.11599999666213989
590,0.22450000047683716,0.3224949538707733,4.986723979527596e-06,511638.0,35.45000076293945,1.0,173.60000610351562,0.10000000149011612,10.621428489685059,1.0,49.400001525878906,4.051467418670654,0.540341317653656,4.051467418670654,0.2151678055524826,0.6000000238418579,0.5406659841537476,0.0,0.0,0.0,0.0,0.0,0.11800000071525574
600,0.007899999618530273,0.0,4.986176008969778e-06,519526.0,56.849998474121094,1.0,159.60000610351562,0.15000000596046448,24.335952758789062,1.0,95.0,3.7059872150421143,0.7568011283874512,3.7059872150421143,0.29196515679359436,0.550000011920929,0.8869707584381104,0.0,0.0,0.0,0.0,0.0,0.11999999731779099
610,-0.049800001084804535,0.05854732543230057,4.985616669728188e-06,530793.0,115.7249984741211,1.0,256.0,0.4000000059604645,26.735239028930664,1.0,78.80000305175781,3.498479127883911,0.9649205803871155,3.498479127883911,0.514661967754364,0.3499999940395355,0.9139626026153564,0.0,0.0,0.0,0.0,0.0,0.12200000137090683
620,0.05920000001788139,0.11321152746677399,4.985046871297527e-06,540614.0,51.525001525878906,1.0,164.8000030517578,0.17499999701976776,7.888333797454834,1.0,23.399999618530273,3.7064454555511475,0.7269517779350281,3.7064454555511475,0.2901211678981781,0.5,0.6771185398101807,0.0,0.0,0.0,0.0,0.0,0.12399999797344208
630,0.12639999389648438,0.38871848583221436,4.984465249435743e-06,549295.0,69.42500305175781,3.5999999046325684,213.0,0.22499999403953552,16.629762649536133,3.5999999046325684,45.599998474121094,3.6651792526245117,0.6491208076477051,3.6651792526245117,0.21461161971092224,0.4000000059604645,0.9377908110618591,0.0,0.0,0.0,0.0,0.0,0.12600000202655792
640,0.1298999935388565,0.20225957036018372,4.983873168384889e-06,554676.0,30.774999618530273,1.0,166.1999969482422,0.10000000149011612,5.665476322174072,1.0,27.600000381469727,3.854327440261841,0.5528385639190674,3.854327440261841,0.0677485316991806,0.699999988079071,0.9309042096138,0.0,0.0,0.0,0.0,0.0,0.12800000607967377
